name,var_num,sample_num,varsortability,last_updated,group,type
Alarm1_s500_v1,37,500,0.8675496688741722,Mon Feb 27 20:34:22 2023,Alarm1,semi-synthetic
Alarm1_s500_v2,37,500,0.8642384105960265,Mon Feb 27 20:34:22 2023,Alarm1,semi-synthetic
Alarm1_s500_v3,37,500,0.8675496688741722,Mon Feb 27 20:34:22 2023,Alarm1,semi-synthetic
Alarm1_s500_v4,37,500,0.8675496688741722,Mon Feb 27 20:34:22 2023,Alarm1,semi-synthetic
Alarm1_s500_v5,37,500,0.847682119205298,Mon Feb 27 20:34:22 2023,Alarm1,semi-synthetic
Alarm1_s500_v6,37,500,0.8609271523178808,Mon Feb 27 20:34:22 2023,Alarm1,semi-synthetic
Alarm1_s500_v7,37,500,0.8725165562913907,Mon Feb 27 20:34:22 2023,Alarm1,semi-synthetic
Alarm1_s500_v8,37,500,0.8576158940397351,Mon Feb 27 20:34:22 2023,Alarm1,semi-synthetic
Alarm1_s500_v9,37,500,0.8741721854304636,Mon Feb 27 20:34:22 2023,Alarm1,semi-synthetic
Alarm1_s500_v10,37,500,0.8642384105960265,Mon Feb 27 20:34:22 2023,Alarm1,semi-synthetic
Alarm1_s1000_v1,37,1000,0.8642384105960265,Mon Feb 27 20:34:22 2023,Alarm1,semi-synthetic
Alarm1_s1000_v2,37,1000,0.8741721854304636,Mon Feb 27 20:34:23 2023,Alarm1,semi-synthetic
Alarm1_s1000_v3,37,1000,0.8642384105960265,Mon Feb 27 20:34:23 2023,Alarm1,semi-synthetic
Alarm1_s1000_v4,37,1000,0.8708609271523179,Mon Feb 27 20:34:23 2023,Alarm1,semi-synthetic
Alarm1_s1000_v5,37,1000,0.8576158940397351,Mon Feb 27 20:34:23 2023,Alarm1,semi-synthetic
Alarm1_s1000_v6,37,1000,0.8576158940397351,Mon Feb 27 20:34:23 2023,Alarm1,semi-synthetic
Alarm1_s1000_v7,37,1000,0.8725165562913907,Mon Feb 27 20:34:23 2023,Alarm1,semi-synthetic
Alarm1_s1000_v8,37,1000,0.8675496688741722,Mon Feb 27 20:34:23 2023,Alarm1,semi-synthetic
Alarm1_s1000_v9,37,1000,0.8708609271523179,Mon Feb 27 20:34:23 2023,Alarm1,semi-synthetic
Alarm1_s1000_v10,37,1000,0.8708609271523179,Mon Feb 27 20:34:23 2023,Alarm1,semi-synthetic
Alarm1_s5000_v1,37,5000,0.8708609271523179,Mon Feb 27 20:34:23 2023,Alarm1,semi-synthetic
Alarm1_s5000_v2,37,5000,0.8708609271523179,Mon Feb 27 20:34:23 2023,Alarm1,semi-synthetic
Alarm1_s5000_v3,37,5000,0.8675496688741722,Mon Feb 27 20:34:23 2023,Alarm1,semi-synthetic
Alarm1_s5000_v4,37,5000,0.8675496688741722,Mon Feb 27 20:34:23 2023,Alarm1,semi-synthetic
Alarm1_s5000_v5,37,5000,0.8642384105960265,Mon Feb 27 20:34:23 2023,Alarm1,semi-synthetic
Alarm1_s5000_v6,37,5000,0.8642384105960265,Mon Feb 27 20:34:23 2023,Alarm1,semi-synthetic
Alarm1_s5000_v7,37,5000,0.8675496688741722,Mon Feb 27 20:34:24 2023,Alarm1,semi-synthetic
Alarm1_s5000_v8,37,5000,0.8675496688741722,Mon Feb 27 20:34:24 2023,Alarm1,semi-synthetic
Alarm1_s5000_v9,37,5000,0.8675496688741722,Mon Feb 27 20:34:24 2023,Alarm1,semi-synthetic
