name,var_num,sample_num,varsortability,last_updated
Alarm1_s500_v1,37,500,0.8675496688741722,Mon Feb 27 20:34:22 2023
Alarm1_s500_v2,37,500,0.8642384105960265,Mon Feb 27 20:34:22 2023
Alarm1_s500_v3,37,500,0.8675496688741722,Mon Feb 27 20:34:22 2023
Alarm1_s500_v4,37,500,0.8675496688741722,Mon Feb 27 20:34:22 2023
Alarm1_s500_v5,37,500,0.847682119205298,Mon Feb 27 20:34:22 2023
Alarm1_s500_v6,37,500,0.8609271523178808,Mon Feb 27 20:34:22 2023
Alarm1_s500_v7,37,500,0.8725165562913907,Mon Feb 27 20:34:22 2023
Alarm1_s500_v8,37,500,0.8576158940397351,Mon Feb 27 20:34:22 2023
Alarm1_s500_v9,37,500,0.8741721854304636,Mon Feb 27 20:34:22 2023
Alarm1_s500_v10,37,500,0.8642384105960265,Mon Feb 27 20:34:22 2023
Alarm1_s1000_v1,37,1000,0.8642384105960265,Mon Feb 27 20:34:22 2023
Alarm1_s1000_v2,37,1000,0.8741721854304636,Mon Feb 27 20:34:23 2023
Alarm1_s1000_v3,37,1000,0.8642384105960265,Mon Feb 27 20:34:23 2023
Alarm1_s1000_v4,37,1000,0.8708609271523179,Mon Feb 27 20:34:23 2023
Alarm1_s1000_v5,37,1000,0.8576158940397351,Mon Feb 27 20:34:23 2023
Alarm1_s1000_v6,37,1000,0.8576158940397351,Mon Feb 27 20:34:23 2023
Alarm1_s1000_v7,37,1000,0.8725165562913907,Mon Feb 27 20:34:23 2023
Alarm1_s1000_v8,37,1000,0.8675496688741722,Mon Feb 27 20:34:23 2023
Alarm1_s1000_v9,37,1000,0.8708609271523179,Mon Feb 27 20:34:23 2023
Alarm1_s1000_v10,37,1000,0.8708609271523179,Mon Feb 27 20:34:23 2023
Alarm1_s5000_v1,37,5000,0.8708609271523179,Mon Feb 27 20:34:23 2023
Alarm1_s5000_v2,37,5000,0.8708609271523179,Mon Feb 27 20:34:23 2023
Alarm1_s5000_v3,37,5000,0.8675496688741722,Mon Feb 27 20:34:23 2023
Alarm1_s5000_v4,37,5000,0.8675496688741722,Mon Feb 27 20:34:23 2023
Alarm1_s5000_v5,37,5000,0.8642384105960265,Mon Feb 27 20:34:23 2023
Alarm1_s5000_v6,37,5000,0.8642384105960265,Mon Feb 27 20:34:23 2023
Alarm1_s5000_v7,37,5000,0.8675496688741722,Mon Feb 27 20:34:24 2023
Alarm1_s5000_v8,37,5000,0.8675496688741722,Mon Feb 27 20:34:24 2023
Alarm1_s5000_v9,37,5000,0.8675496688741722,Mon Feb 27 20:34:24 2023
Alarm1_s5000_v10,37,5000,0.8675496688741722,Mon Feb 27 20:34:24 2023
Alarm3_s500_v1,111,500,0.8078802687843616,Mon Feb 27 20:34:24 2023
Alarm3_s500_v2,111,500,0.8210140500916311,Mon Feb 27 20:34:24 2023
Alarm3_s500_v3,111,500,0.8145998778252902,Mon Feb 27 20:34:24 2023
Alarm3_s500_v4,111,500,0.8368967623701894,Mon Feb 27 20:34:24 2023
Alarm3_s500_v5,111,500,0.820097739767868,Mon Feb 27 20:34:25 2023
Alarm3_s500_v6,111,500,0.8216249236408063,Mon Feb 27 20:34:25 2023
Alarm3_s500_v7,111,500,0.8277336591325596,Mon Feb 27 20:34:25 2023
Alarm3_s500_v8,111,500,0.8448381185094685,Mon Feb 27 20:34:25 2023
Alarm3_s500_v9,111,500,0.8246792913866829,Mon Feb 27 20:34:25 2023
Alarm3_s500_v10,111,500,0.8286499694563225,Mon Feb 27 20:34:25 2023
Alarm3_s1000_v1,111,1000,0.8176542455711667,Mon Feb 27 20:34:25 2023
Alarm3_s1000_v2,111,1000,0.818265119120342,Mon Feb 27 20:34:25 2023
Alarm3_s1000_v3,111,1000,0.8204031765424558,Mon Feb 27 20:34:26 2023
Alarm3_s1000_v4,111,1000,0.8335369578497251,Mon Feb 27 20:34:26 2023
Alarm3_s1000_v5,111,1000,0.8173488087965791,Mon Feb 27 20:34:26 2023
Alarm3_s1000_v6,111,1000,0.822846670739157,Mon Feb 27 20:34:26 2023
Alarm3_s1000_v7,111,1000,0.8320097739767868,Mon Feb 27 20:34:26 2023
Alarm3_s1000_v8,111,1000,0.8344532681734881,Mon Feb 27 20:34:26 2023
Alarm3_s1000_v9,111,1000,0.8197923029932804,Mon Feb 27 20:34:27 2023
Alarm3_s1000_v10,111,1000,0.8289554062309102,Mon Feb 27 20:34:27 2023
Alarm3_s5000_v1,111,5000,0.8246792913866829,Mon Feb 27 20:34:27 2023
Alarm3_s5000_v2,111,5000,0.8252901649358583,Mon Feb 27 20:34:28 2023
Alarm3_s5000_v3,111,5000,0.8295662797800856,Mon Feb 27 20:34:28 2023
Alarm3_s5000_v4,111,5000,0.8246792913866829,Mon Feb 27 20:34:28 2023
Alarm3_s5000_v5,111,5000,0.8289554062309102,Mon Feb 27 20:34:29 2023
Alarm3_s5000_v6,111,5000,0.8301771533292609,Mon Feb 27 20:34:29 2023
Alarm3_s5000_v7,111,5000,0.8283445326817349,Mon Feb 27 20:34:29 2023
Alarm3_s5000_v8,111,5000,0.8210140500916311,Mon Feb 27 20:34:30 2023
Alarm3_s5000_v9,111,5000,0.8252901649358583,Mon Feb 27 20:34:30 2023
Alarm3_s5000_v10,111,5000,0.8271227855833843,Mon Feb 27 20:34:31 2023
